Aeroportos de origem 
Aeroporto Internacional de Guarulhos
Aeroporto Internacional Guararapes - Gilberto Freyre
Aeroporto Internacional Deputado Luís Eduardo Magalhães
Aeroporto Internacional Governador Aluízio Alves
Aeroporto Internacional Marechal Cunha Machado
Aeroporto Internacional Pinto Martins
Aeroporto Internacional de Nursultan Nazarbayev
Aeroporto Internacional de Xangai Pudong
Aeroporto Internacional de Pequim Capital
Aeroporto Internacional de Pyongyang Sunan
Aeroporto Internacional de Incheon
Aeroporto Internacional Ninoy Aquino
Aeroporto Internacional de Hong Kong
Aeroporto Internacional Indira Gandhi
Aeroporto Internacional Soekarno-Hatta (Jacarta)
Aeroporto Internacional Ngurah Rai (Bali)
Aeroporto Internacional de Narita (Tóquio)
Aeroporto Internacional de Haneda (Tóquio)
Aeroporto Internacional de Kansai (Osaka)
Aeroporto Internacional de Wattay (Vientiane)
Aeroporto Internacional de Kuala Lumpur (Sepang)
Aeroporto Internacional de Penang (Penang)
Aeroporto Internacional de Malé
Aeroporto Internacional de Changi
Aeroporto Internacional de Suvarnabhumi
Aeroporto Internacional Don Mueang
Aeroporto Internacional de Taiwan Taoyuan
Aeroporto Internacional de Tan Son Nhat
Aeroporto Internacional de Noi Bai
Aeroporto de Frankfurt
Aeroporto de Frankfurt
Aeroporto de Dublin
Aeroporto de Varsóvia Chopin
Aeroporto de Oslo-Gardermoen
Aeroporto de Roma-Fiumicino
Aeroporto de Milão-Malpensa
Aeroporto de Praga
Aeroporto de Heathrow (Londres)
Aeroporto de Gatwick (Londres)
Aeroporto Internacional de Budapeste Ferenc Liszt
Aeroporto de Schiphol (Amsterdã)
Aeroporto Internacional de Boryspil (Kiev)
Aeroporto de Istambul
Aeroporto de Zurique
Aeroporto de Estocolmo-Arlanda
Aeroporto Nikola Tesla (Belgrado)
Aeroporto Internacional Sheremetyevo (Moscou)
Aeroporto de Pulkovo (São Petersburgo)
Aeroporto Internacional Henri Coandă (Bucareste)
Aeroporto Humberto Delgado (Lisboa)
Aeroporto Francisco Sá Carneiro (Porto)
Aeroporto Internacional de Malta
Aeroporto de Luxemburgo
Aeroporto Internacional de Vilnius
Aeroporto Internacional de Riga
Aeroporto Internacional Madre Teresa (Tirana)
Aeroporto de Barcelona-El Prat (Espanha)
Aeroporto de Toulouse-Blagnac (França)
Aeroporto Internacional de Viena
Aeroporto de Bruxelas
Aeroporto de Sófia
Aeroporto de Bratislava
Aeroporto de Ljubljana Jože Pučnik
Aeroporto Adolfo Suárez Madrid-Barajas
Aeroporto de Barcelona-El Prat
Aeroporto de Tallinn
Aeroporto de Vágar
Aeroporto de Helsinque
