Origem,Alagoas (Km),Alagoas (Hr - Comercial),Alagoas (Hr - Cargueiro),Amapá (Km),Amapá (Hr - Comercial),Amapá (Hr - Cargueiro),Amazonas (Km),Amazonas (Hr - Comercial),Amazonas (Hr - Cargueiro),Bahia (Km),Bahia (Hr - Comercial),Bahia (Hr - Cargueiro),Ceará (Km),Ceará (Hr - Comercial),Ceará (Hr - Cargueiro),Distrito Federal (Km),Distrito Federal (Hr - Comercial),Distrito Federal (Hr - Cargueiro),Espírito Santo (Km),Espírito Santo (Hr - Comercial),Espírito Santo (Hr - Cargueiro),Maranhão (Km),Maranhão (Hr - Comercial),Maranhão (Hr - Cargueiro),Mato Grosso (Km),Mato Grosso (Hr - Comercial),Mato Grosso (Hr - Cargueiro),Minas Gerais (Km),Minas Gerais (Hr - Comercial),Minas Gerais (Hr - Cargueiro),Pará (Km),Pará (Hr - Comercial),Pará (Hr - Cargueiro),Paraná (Km),Paraná (Hr - Comercial),Paraná (Hr - Cargueiro),Pernambuco (Km),Pernambuco (Hr - Comercial),Pernambuco (Hr - Cargueiro),Rio de Janeiro (Km),Rio de Janeiro (Hr - Comercial),Rio de Janeiro (Hr - Cargueiro),Rio Grande do Norte (Km),Rio Grande do Norte (Hr - Comercial),Rio Grande do Norte (Hr - Cargueiro),Rio Grande do Sul (Km),Rio Grande do Sul (Hr - Comercial),Rio Grande do Sul (Hr - Cargueiro),Santa Catarina (Km),Santa Catarina (Hr - Comercial),Santa Catarina (Hr - Cargueiro),São Paulo (Km),São Paulo (Hr - Comercial),São Paulo (Hr - Cargueiro),Sergipe (Km),Sergipe (Hr - Comercial),Sergipe (Hr - Cargueiro)
Aeroporto Internacional de Noi Bai,15699,17:26 ~ 18:28,18:28 ~ 19:37,16579,18:25 ~ 19:30,19:30 ~ 20:43,17853,19:50 ~ 21:00,21:00 ~ 22:18,16116,17:54 ~ 18:57,18:57 ~ 20:08,15717,17:27 ~ 18:29,18:29 ~ 19:38,17202,19:06 ~ 20:14,20:14 ~ 21:30,16508,18:20 ~ 19:25,19:25 ~ 20:38,16181,17:58 ~ 19:02,19:02 ~ 20:13,18058,20:03 ~ 21:14,21:14 ~ 22:34,16804,18:40 ~ 19:46,19:46 ~ 21:00,16473,18:18 ~ 19:22,19:22 ~ 20:35,17437,19:22 ~ 20:30,20:30 ~ 21:47,15576,17:18 ~ 18:19,18:19 ~ 19:28,16831,18:42 ~ 19:48,19:48 ~ 21:02,15501,17:13 ~ 18:14,18:14 ~ 19:22,17525,19:28 ~ 20:37,20:37 ~ 21:54,17339,19:15 ~ 20:23,20:23 ~ 21:40,17171,19:04 ~ 20:12,20:12 ~ 21:27,15913,17:40 ~ 18:43,18:43 ~ 19:53
Aeroporto Internacional de Pequim Capital,15617,17:21 ~ 18:22,18:22 ~ 19:31,15391,17:06 ~ 18:06,18:06 ~ 19:14,15927,17:41 ~ 18:44,18:44 ~ 19:54,16130,17:55 ~ 18:58,18:58 ~ 20:09,15276,16:58 ~ 17:58,17:58 ~ 19:05,16936,18:49 ~ 19:55,19:55 ~ 21:10,16907,18:47 ~ 19:53,19:53 ~ 21:08,15429,17:08 ~ 18:09,18:09 ~ 19:17,17215,19:07 ~ 20:15,20:15 ~ 21:31,17040,18:56 ~ 20:02,20:02 ~ 21:18,15463,17:10 ~ 18:11,18:11 ~ 19:19,17901,19:53 ~ 21:03,21:03 ~ 22:22,15483,17:12 ~ 18:12,18:12 ~ 19:21,17323,19:14 ~ 20:22,20:22 ~ 21:39,15285,16:59 ~ 17:58,17:58 ~ 19:06,18438,20:29 ~ 21:41,21:41 ~ 23:02,18075,20:04 ~ 21:15,21:15 ~ 22:35,17578,19:31 ~ 20:40,20:40 ~ 21:58,15873,17:38 ~ 18:40,18:40 ~ 19:50
Aeroporto Internacional de Wattay (Vientiane),15423,17:08 ~ 18:08,18:08 ~ 19:16,16518,18:21 ~ 19:25,19:25 ~ 20:38,17989,19:59 ~ 21:09,21:09 ~ 22:29,15807,17:33 ~ 18:35,18:35 ~ 19:45,15511,17:14 ~ 18:14,18:14 ~ 19:23,16885,18:45 ~ 19:51,19:51 ~ 21:06,16124,17:54 ~ 18:58,18:58 ~ 20:09,16026,17:48 ~ 18:51,18:51 ~ 20:01,17781,19:45 ~ 20:55,20:55 ~ 22:13,16430,18:15 ~ 19:19,19:19 ~ 20:32,16369,18:11 ~ 19:15,19:15 ~ 20:27,17001,18:53 ~ 20:00,20:00 ~ 21:15,15307,17:00 ~ 18:00,18:00 ~ 19:08,16422,18:14 ~ 19:19,19:19 ~ 20:31,15257,16:57 ~ 17:56,17:56 ~ 19:04,17050,18:56 ~ 20:03,20:03 ~ 21:18,16884,18:45 ~ 19:51,19:51 ~ 21:06,16756,18:37 ~ 19:42,19:42 ~ 20:56,15621,17:21 ~ 18:22,18:22 ~ 19:31
Aeroporto Internacional Ngurah Rai (Bali),16250,18:03 ~ 19:07,19:07 ~ 20:18,18223,20:14 ~ 21:26,21:26 ~ 22:46,18657,20:43 ~ 21:56,21:56 ~ 23:19,16239,18:02 ~ 19:06,19:06 ~ 20:17,16799,18:39 ~ 19:45,19:45 ~ 20:59,16715,18:34 ~ 19:39,19:39 ~ 20:53,15832,17:35 ~ 18:37,18:37 ~ 19:47,17421,19:21 ~ 20:29,20:29 ~ 21:46,17155,19:03 ~ 20:10,20:10 ~ 21:26,16085,17:52 ~ 18:55,18:55 ~ 20:06,17896,19:53 ~ 21:03,21:03 ~ 22:22,15883,17:38 ~ 18:41,18:41 ~ 19:51,16223,18:01 ~ 19:05,19:05 ~ 20:16,15790,17:32 ~ 18:34,18:34 ~ 19:44,16376,18:11 ~ 19:15,19:15 ~ 20:28,15478,17:11 ~ 18:12,18:12 ~ 19:20,15614,17:20 ~ 18:22,18:22 ~ 19:31,15929,17:41 ~ 18:44,18:44 ~ 19:54,16258,18:03 ~ 19:07,19:07 ~ 20:19
Aeroporto Internacional de Suvarnabhumi,15264,16:57 ~ 17:57,17:57 ~ 19:04,16572,18:24 ~ 19:29,19:29 ~ 20:42,18194,20:12 ~ 21:24,21:24 ~ 22:44,15606,17:20 ~ 18:21,18:21 ~ 19:30,15429,17:08 ~ 18:09,18:09 ~ 19:17,16657,18:30 ~ 19:35,19:35 ~ 20:49,15830,17:35 ~ 18:37,18:37 ~ 19:47,15990,17:45 ~ 18:48,18:48 ~ 19:59,17568,19:31 ~ 20:40,20:40 ~ 21:57,16144,17:56 ~ 18:59,18:59 ~ 20:10,16380,18:11 ~ 19:16,19:16 ~ 20:28,16632,18:28 ~ 19:34,19:34 ~ 20:47,15157,16:50 ~ 17:49,17:49 ~ 18:56,16094,17:52 ~ 18:56,18:56 ~ 20:07,15136,16:49 ~ 17:48,17:48 ~ 18:55,16622,18:28 ~ 19:33,19:33 ~ 20:46,16488,18:19 ~ 19:23,19:23 ~ 20:36,16417,18:14 ~ 19:18,19:18 ~ 20:31,15442,17:09 ~ 18:10,18:10 ~ 19:18
Aeroporto Internacional Don Mueang,15248,16:56 ~ 17:56,17:56 ~ 19:03,16548,18:23 ~ 19:28,19:28 ~ 20:41,18166,20:11 ~ 21:22,21:22 ~ 22:42,15592,17:19 ~ 18:20,18:20 ~ 19:29,15409,17:07 ~ 18:07,18:07 ~ 19:15,16645,18:29 ~ 19:34,19:34 ~ 20:48,15822,17:34 ~ 18:36,18:36 ~ 19:46,15968,17:44 ~ 18:47,18:47 ~ 19:57,17556,19:30 ~ 20:39,20:39 ~ 21:56,16135,17:55 ~ 18:58,18:58 ~ 20:10,16357,18:10 ~ 19:14,19:14 ~ 20:26,16630,18:28 ~ 19:33,19:33 ~ 20:47,15140,16:49 ~ 17:48,17:48 ~ 18:55,16088,17:52 ~ 18:55,18:55 ~ 20:06,15118,16:47 ~ 17:47,17:47 ~ 18:53,16624,18:28 ~ 19:33,19:33 ~ 20:46,16488,18:19 ~ 19:23,19:23 ~ 20:36,16412,18:14 ~ 19:18,19:18 ~ 20:30,15427,17:08 ~ 18:08,18:08 ~ 19:17
Aeroporto Internacional de Changi,15495,17:12 ~ 18:13,18:13 ~ 19:22,17257,19:10 ~ 20:18,20:18 ~ 21:34,18930,21:02 ~ 22:16,22:16 ~ 23:39,15688,17:25 ~ 18:27,18:27 ~ 19:36,15861,17:37 ~ 18:39,18:39 ~ 19:49,16555,18:23 ~ 19:28,19:28 ~ 20:41,15617,17:21 ~ 18:22,18:22 ~ 19:31,16498,18:19 ~ 19:24,19:24 ~ 20:37,17357,19:17 ~ 20:25,20:25 ~ 21:41,15927,17:41 ~ 18:44,18:44 ~ 19:54,16973,18:51 ~ 19:58,19:58 ~ 21:12,16110,17:53 ~ 18:57,18:57 ~ 20:08,15420,17:07 ~ 18:08,18:08 ~ 19:16,15750,17:30 ~ 18:31,18:31 ~ 19:41,15484,17:12 ~ 18:12,18:12 ~ 19:21,15900,17:40 ~ 18:42,18:42 ~ 19:52,15891,17:39 ~ 18:41,18:41 ~ 19:51,16009,17:47 ~ 18:50,18:50 ~ 20:00,15602,17:20 ~ 18:21,18:21 ~ 19:30
Aeroporto Internacional de Kuala Lumpur (Sepang),15276,16:58 ~ 17:58,17:58 ~ 19:05,16992,18:52 ~ 19:59,19:59 ~ 21:14,18698,20:46 ~ 21:59,21:59 ~ 23:22,15493,17:12 ~ 18:13,18:13 ~ 19:21,15616,17:21 ~ 18:22,18:22 ~ 19:31,16401,18:13 ~ 19:17,19:17 ~ 20:30,15473,17:11 ~ 18:12,18:12 ~ 19:20,16249,18:03 ~ 19:06,19:06 ~ 20:18,17238,19:09 ~ 20:16,20:16 ~ 21:32,15786,17:32 ~ 18:34,18:34 ~ 19:43,16717,18:34 ~ 19:40,19:40 ~ 20:53,16031,17:48 ~ 18:51,18:51 ~ 20:02,15196,16:53 ~ 17:52,17:52 ~ 18:59,15631,17:22 ~ 18:23,18:23 ~ 19:32,15248,16:56 ~ 17:56,17:56 ~ 19:03,15861,17:37 ~ 18:39,18:39 ~ 19:49,15825,17:34 ~ 18:37,18:37 ~ 19:46,15905,17:40 ~ 18:42,18:42 ~ 19:52,15395,17:06 ~ 18:06,18:06 ~ 19:14
Aeroporto Internacional de Penang (Penang),15164,16:50 ~ 17:50,17:50 ~ 18:57,16797,18:39 ~ 19:45,19:45 ~ 20:59,18527,20:35 ~ 21:47,21:47 ~ 23:09,15414,17:07 ~ 18:08,18:08 ~ 19:16,15464,17:10 ~ 18:11,18:11 ~ 19:19,16369,18:11 ~ 19:15,19:15 ~ 20:27,15458,17:10 ~ 18:11,18:11 ~ 19:19,16085,17:52 ~ 18:55,18:55 ~ 20:06,17240,19:09 ~ 20:16,20:16 ~ 21:33,15775,17:31 ~ 18:33,18:33 ~ 19:43,16539,18:22 ~ 19:27,19:27 ~ 20:40,16089,17:52 ~ 18:55,18:55 ~ 20:06,15076,16:45 ~ 17:44,17:44 ~ 18:50,15647,17:23 ~ 18:24,18:24 ~ 19:33,15111,16:47 ~ 17:46,17:46 ~ 18:53,15965,17:44 ~ 18:46,18:46 ~ 19:57,15899,17:39 ~ 18:42,18:42 ~ 19:52,15937,17:42 ~ 18:44,18:44 ~ 19:55,15299,16:59 ~ 17:59,17:59 ~ 19:07
Aeroporto Internacional Soekarno-Hatta (Jacarta),15535,17:15 ~ 18:16,18:16 ~ 19:25,17470,19:24 ~ 20:33,20:33 ~ 21:50,18705,20:47 ~ 22:00,22:00 ~ 23:22,15621,17:21 ~ 18:22,18:22 ~ 19:31,16013,17:47 ~ 18:50,18:50 ~ 20:00,16313,18:07 ~ 19:11,19:11 ~ 20:23,15376,17:05 ~ 18:05,18:05 ~ 19:13,16657,18:30 ~ 19:35,19:35 ~ 20:49,16971,18:51 ~ 19:57,19:57 ~ 21:12,15665,17:24 ~ 18:25,18:25 ~ 19:34,17149,19:03 ~ 20:10,20:10 ~ 21:26,15668,17:24 ~ 18:25,18:25 ~ 19:35,15486,17:12 ~ 18:13,18:13 ~ 19:21,15426,17:08 ~ 18:08,18:08 ~ 19:16,15602,17:20 ~ 18:21,18:21 ~ 19:30,15366,17:04 ~ 18:04,18:04 ~ 19:12,15422,17:08 ~ 18:08,18:08 ~ 19:16,15633,17:22 ~ 18:23,18:23 ~ 19:32,15590,17:19 ~ 18:20,18:20 ~ 19:29
