Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Amazonas,Aeroporto de Praga,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,10572,227.77854545454545
Amazonas,Aeroporto de Dublin,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,9411,202.76427272727273
Amazonas,Aeroporto de Roma-Fiumicino,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,9904,213.38618181818183
Amazonas,Aeroporto Internacional de Pequim Capital,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,17669,380.68663636363635
Amazonas,Aeroporto Internacional Indira Gandhi,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,15272,329.0421818181818
Amazonas,Aeroporto Internacional Soekarno-Hatta (Jacarta),Aeroporto Internacional do Recife,Aeroporto Internacional de Manaus,18325,394.82045454545454
Amazonas,Aeroporto de Heathrow (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,9499,204.66027272727274
Amazonas,Aeroporto Internacional de Changi,Aeroporto Internacional do Recife,Aeroporto Internacional de Manaus,18259,393.3984545454545
Amazonas,Aeroporto de Helsinque,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,11346,244.45472727272727
Amazonas,Aeroporto Internacional de Incheon,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,18368,395.7469090909091
Amazonas,Aeroporto de Gatwick (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Manaus,9485,204.35863636363635
Amazonas,Aeroporto Internacional de Xangai Pudong,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,19094,411.3889090909091
Amazonas,Aeroporto de Varsóvia Chopin,Aeroporto Internacional de Natal,Aeroporto Internacional de Manaus,11090,238.9390909090909
Amazonas,Aeroporto Internacional Ngurah Rai (Bali),Aeroporto Internacional do Recife,Aeroporto Internacional de Manaus,19062,410.69945454545456
Distrito Federal,Aeroporto de Zurique,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,9071,195.43881818181816
Distrito Federal,Aeroporto Internacional de Kansai (Osaka),Aeroporto Internacional de São Luís,Aeroporto Internacional de Brasília,18002,387.8612727272727
Distrito Federal,Aeroporto de Heathrow (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,8794,189.47072727272726
Distrito Federal,Aeroporto Humberto Delgado (Lisboa),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,7284,156.9370909090909
Distrito Federal,Aeroporto de Gatwick (Londres),Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,8780,189.16909090909093
Distrito Federal,Aeroporto Adolfo Suárez Madrid-Barajas,Aeroporto Internacional de Fortaleza,Aeroporto Internacional de Brasília,7747,166.91263636363635
Distrito Federal,Aeroporto de Toulouse-Blagnac (França),Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,8373,180.40009090909092
Distrito Federal,Aeroporto Internacional de Penang (Penang),Aeroporto Internacional do Recife,Aeroporto Internacional de Brasília,16731,360.477
Distrito Federal,Aeroporto Internacional de Hong Kong,Aeroporto Internacional de Natal,Aeroporto Internacional de Brasília,18020,388.2490909090909
