Origem,Estado,Emissão hub carga,Emissão original carga
Aeroporto de Varsóvia Chopin,São Paulo,228.0,228.0
Aeroporto de Helsinque,São Paulo,243.0,242.0
Aeroporto Internacional Sheremetyevo (Moscou),São Paulo,253.0,253.0
Aeroporto Francisco Sá Carneiro (Porto),São Paulo,176.0,175.0
Aeroporto Internacional de Malta,São Paulo,198.0,197.0
Aeroporto Internacional de Wattay (Vientiane),São Paulo,378.0,364.0
Aeroporto Internacional Madre Teresa (Tirana),São Paulo,214.0,213.0
Aeroporto de Tallinn,São Paulo,242.0,242.0
Aeroporto Internacional de Malé,São Paulo,306.0,288.0
Aeroporto Humberto Delgado (Lisboa),São Paulo,170.0,170.0
Aeroporto de Bratislava,São Paulo,218.0,218.0
Aeroporto de Toulouse-Blagnac (França),São Paulo,191.0,191.0
Aeroporto Internacional de Nursultan Nazarbayev,São Paulo,300.0,300.0
Aeroporto de Ljubljana Joe Pu?nik,São Paulo,212.0,212.0
Aeroporto Internacional de Boryspil (Kiev),São Paulo,240.0,241.0
Aeroporto Internacional de Noi Bai,São Paulo,383.0,373.0
Aeroporto de Barcelona-El Prat (Espanha),São Paulo,188.0,188.0
Aeroporto Internacional de Hong Kong,São Paulo,399.0,388.0
Aeroporto Internacional Henri Coand? (Bucareste),São Paulo,227.0,226.0
Aeroporto de Pulkovo (São Petersburgo),São Paulo,248.0,248.0
Aeroporto de Luxemburgo,São Paulo,207.0,207.0
Aeroporto Internacional de Budapeste Ferenc Liszt,São Paulo,220.0,220.0
Aeroporto de Sófia,São Paulo,221.0,220.0
Aeroporto Internacional de Pyongyang Sunan,São Paulo,390.0,390.0
Aeroporto Internacional de Kuala Lumpur (Sepang),Sergipe,335.0,339.0
Aeroporto Internacional de Suvarnabhumi,Sergipe,339.0,378.0
Aeroporto Internacional de Penang (Penang),Sergipe,333.0,337.0
Aeroporto Internacional de Narita (Tóquio),Sergipe,377.0,371.0
Aeroporto Internacional de Kansai (Osaka),Sergipe,381.0,372.0
Aeroporto de Frankfurt,Sergipe,178.0,185.0
Aeroporto Internacional de Haneda (Tóquio),Sergipe,378.0,371.0
Aeroporto Internacional Don Mueang,Sergipe,338.0,378.0
Aeroporto Internacional de Budapeste Ferenc Liszt,Sergipe,184.0,194.0
