Origem,Alagoas (Km),Amapá (Km),Amazonas (Km),Bahia (Km),Ceará (Km),Distrito Federal (Km),Espírito Santo (Km),Maranhão (Km),Mato Grosso (Km),Minas Gerais (Km),Pará (Km),Paraná (Km),Pernambuco (Km),Rio de Janeiro (Km),Rio Grande do Norte (Km),Rio Grande do Sul (Km),Roraima (Km),Santa Catarina (Km),São Paulo (Km),Sergipe (Km)
Aeroporto Francisco Sá Carneiro (Porto),6219,6244,7628,,,7505,7550,,7988,7625,6197,8465,,7945,,9017,6706,8666,8154,6471
Aeroporto Internacional de Malta,7235,7825,9397,,,8708,8475,,9379,8639,7699,9511,,8893,,10012,8492,9650,9174,7488
Aeroporto de Luxemburgo,7671,7718,9041,,,8987,8996,,9474,9086,7680,9935,,9398,,10483,8120,10129,9619,7925
Aeroporto Internacional de Vilnius,9044,9129,10409,,,10391,10359,,10889,10465,9095,11322,,10766,,11865,9493,11506,11001,9300
Aeroporto Internacional de Riga,9099,9100,10331,,,10415,10421,,10880,10515,9079,11365,,10825,,11913,9420,11558,11049,9353
Aeroporto Internacional Madre Teresa (Tirana),7950,8417,9922,,,9401,9209,,10035,9362,8314,10235,,9626,,10745,9004,10382,9899,8204
Aeroporto de Barcelona-El Prat (Espanha),6783,7020,8471,,,8156,8096,,8710,8205,6945,9066,,8504,,9605,7550,9246,8742,7039
Aeroporto de Toulouse-Blagnac (França),6935,7087,8494,,,8280,8255,,8806,8354,7026,9209,,8660,,9753,7572,9396,8889,7190
Aeroporto Internacional de Viena,8145,8364,9753,,,9528,9448,,10077,9567,8302,10431,,9859,,10966,8830,10605,10105,8401
Aeroporto de Bruxelas,7687,7673,8963,,,8979,9017,,9443,9097,7645,9940,,9415,,10492,8044,10139,9628,7941
Aeroporto de Sófia,8284,8743,10234,,,9737,9541,,10369,9696,8644,10568,,9958,,11077,9315,10714,10232,8539
Aeroporto de Bratislava,8188,8412,9801,,,9574,9491,,10124,9611,8350,10476,,9902,,11009,8878,10649,10149,8444
Aeroporto de Ljubljana Joe Pu?nik,7892,8149,9564,,,9284,9192,,9846,9314,8079,10180,,9604,,10712,8642,10351,9853,8148
Aeroporto Adolfo Suárez Madrid-Barajas,6403,6560,7993,,,7742,7726,,8270,7821,6494,8674,,8129,,9219,7072,8863,8355,6658
Aeroporto de Barcelona-El Prat,6784,7021,8471,,,8156,8096,,8711,8206,6945,9067,,8504,,9605,7551,9246,8743,7040
Aeroporto de Tallinn,9280,9207,10385,,,10568,10608,,11003,10691,9200,11534,,11007,,12086,9481,11733,11222,9534
Aeroporto de Vágar,8260,7794,8783,,,9345,9582,,9625,9597,7844,10373,,9945,,10934,7907,10608,10097,8499
Aeroporto de Helsinque,9338,9236,10395,,,10615,10668,,11037,10747,9234,11587,,11066,,12140,9493,11789,11277,9592
