Origem,Estado,Distância hub,Distância original
Aeroporto Internacional de Xangai Pudong,Rio Grande do Norte,16326.0,16326
Aeroporto de Praga,Rio Grande do Norte,7804.0,12392
Aeroporto Internacional Hartsfield-Jackson Atlanta,Rio Grande do Norte,6768.0,7238
Aeroporto de Copenhague,Rio Grande do Norte,7116.0,7423
Aeroporto de Frankfurt,Rio Grande do Norte,7482.0,7482
Aeroporto de Zurique,Rio Grande do Norte,7293.0,7760
Aeroporto Internacional de Viena,Rio Grande do Norte,7815.0,8273
Aeroporto Internacional de Kuala Lumpur (Sepang),Rio Grande do Norte,15248.0,15459
Aeroporto Internacional de Penang (Penang),Rio Grande do Norte,15111.0,15339
Aeroporto Internacional de Pequim Capital,Rio Grande do Norte,15285.0,15285
Aeroporto de Roma-Fiumicino,Rio Grande do Norte,7136.0,7583
Aeroporto de Milão-Malpensa,Rio Grande do Norte,7171.0,7634
Aeroporto Internacional de Xangai Pudong,Sergipe,16896.0,20286
Aeroporto Internacional de Pequim Capital,Sergipe,15873.0,19283
