Origem,Estado,Distância hub carga,Distância original carga
Aeroporto de Toulouse-Blagnac (França),Bahia,7447,7447
Aeroporto de Toulouse-Blagnac (França),Ceará,6596,6596
Aeroporto de Toulouse-Blagnac (França),Pernambuco,6802,10984
Aeroporto de Varsóvia Chopin,Bahia,9170,9170
Aeroporto de Varsóvia Chopin,Ceará,8332,8332
Aeroporto de Varsóvia Chopin,Maranhão,8578,12989
Aeroporto de Varsóvia Chopin,Pernambuco,8523,8523
Aeroporto de Zurique,Maranhão,7547,11587
Aeroporto de Zurique,Pernambuco,7497,7497
Aeroporto de Zurique,Rio Grande do Norte,7293,7760
