Origem,Alagoas (Kg),Amapá (Kg),Amazonas (Kg),Bahia (Kg),Ceará (Kg),Distrito Federal (Kg),Espírito Santo (Kg),Maranhão (Kg),Mato Grosso (Kg),Minas Gerais (Kg),Pará (Kg),Paraná (Kg),Pernambuco (Kg),Rio de Janeiro (Kg),Rio Grande do Norte (Kg),Rio Grande do Sul (Kg),Santa Catarina (Kg),São Paulo (Kg),Sergipe (Kg)
Aeroporto de Dublin,917.826,887.199,1031.478,978.957,863.2139999999999,1063.704,1081.785,878.343,1109.829,1087.074,888.183,1186.827,902.451,1128.525,873.669,1255.7069999999999,1213.887,1150.665,948.084
Aeroporto de Varsóvia Chopin,1064.811,1080.924,1243.653,1127.91,1024.713,1231.968,1226.064,1055.094,1295.436,1239.594,1075.512,1345.374,1048.329,1276.371,1023.606,1411.7939999999999,1367.637,1305.645,1096.176
Aeroporto de Oslo-Gardermoen,1071.576,1045.992,1184.7359999999999,1133.568,1019.9159999999999,1221.882,1235.658,1037.136,1268.991,1242.915,1047.345,1344.021,1055.955,1283.382,1027.911,1412.655,1370.343,1307.121,1102.326
Aeroporto de Roma-Fiumicino,916.965,962.598,1144.884,979.941,884.4929999999999,1091.871,1075.02,923.607,1165.671,1091.625,951.405,1198.635,900.36,1126.065,877.728,1263.087,1218.561,1157.922,948.453
Aeroporto de Milão-Malpensa,923.115,948.207,1121.145,986.2139999999999,884.247,1091.625,1084.245,917.088,1158.537,1098.021,940.212,1203.924,906.633,1134.552,882.033,1270.098,1225.941,1164.072,954.603
Aeroporto de Praga,1001.343,1017.579,1183.014,1064.319,960.63,1167.762,1162.965,990.888,1231.353,1176.003,1011.552,1281.66,984.861,1213.149,959.8919999999999,1348.203,1304.1689999999999,1242.054,1032.708
Aeroporto de Heathrow (Londres),923.853,910.938,1064.934,985.968,874.038,1077.849,1087.812,894.948,1130.862,1095.93,909.093,1198.143,907.986,1135.905,880.311,1266.531,1223.727,1160.628,954.726
Aeroporto de Gatwick (Londres),921.762,910.446,1065.426,983.877,872.316,1076.373,1085.721,893.718,1130.001,1093.962,908.355,1196.421,905.895,1133.937,878.343,1264.686,1221.882,1158.783,952.635
Aeroporto Internacional de Budapeste Ferenc Liszt,1017.21,1050.174,1223.112,1080.309,981.786,1189.41,1176.495,1017.21,1259.028,1192.116,1041.687,1298.757,1000.605,1227.2939999999999,977.112,1363.947,1319.421,1258.29,1048.698
Aeroporto de Schiphol (Amsterdã),961.245,954.8489999999999,1110.444,1023.729,913.644,1118.562,1124.958,936.645,1173.789,1134.306,952.266,1237.503,945.255,1173.666,918.1949999999999,1305.522,1262.349,1199.373,992.364
Aeroporto Internacional de Boryspil (Kiev),1128.402,1160.5049999999999,1328.769,1191.378,1093.839,1301.463,1286.703,1129.1399999999999,1370.835,1303.185,1152.879,1410.072,1111.797,1337.748,1088.673,1474.647,1430.1209999999999,1369.359,1159.8899999999999
