UF do Produto,URF,Código NCM,Países,Soma quantidades,Soma Frete
Pernambuco,Aeroporto Internacional de Viracopos,84715010,China,263,3233
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,3,187
Bahia,Aeroporto Internacional de Salvador,84715010,Dinamarca,3,483
Bahia,Aeroporto Internacional de Guarulhos,84715010,China,106,1070
Ceará,Aeroporto Internacional de Guarulhos,84715010,China,4,91
Paraíba,Aeroporto Internacional do Recife,84715010,China,541,5751
Rio Grande do Norte,Aeroporto Internacional do Recife,84715030,Estados Unidos,7,3132
Ceará,Aeroporto Internacional de Fortaleza,84715010,Alemanha,1,127
Ceará,Aeroporto Internacional de Fortaleza,84715010,Malásia,7,1282
Ceará,Aeroporto Internacional de Viracopos,84715010,China,3,200
Pernambuco,Aeroporto Internacional do Recife,84715010,China,2,1485
Bahia,Aeroporto Internacional de Salvador,84715010,Dinamarca,4,566
Bahia,Aeroporto Internacional de Guarulhos,84715010,Alemanha,2,292
Ceará,Aeroporto Internacional de Fortaleza,84715010,França,1,266
Ceará,Aeroporto Internacional de Viracopos,84715010,Dinamarca,1,801
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),4,278
Pernambuco,Aeroporto Internacional do Recife,84715010,China,42,8349
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,29,1258
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Dinamarca,1,487
Alagoas,Aeroporto Internacional de Guarulhos,84715010,China,3,353
Bahia,Aeroporto Internacional de Salvador,84715010,China,106,2279
Bahia,Aeroporto Internacional de Salvador,84715020,Estados Unidos,1,824
Bahia,Aeroporto Internacional de Guarulhos,84715010,Alemanha,2,149
Ceará,Aeroporto Internacional de Viracopos,84715010,Argentina,1,184
Ceará,Aeroporto Internacional de Viracopos,84715010,Hong Kong,3,27
Maranhão,Aeroporto Internacional de Viracopos,84715010,China,1,450
Paraíba,Aeroporto Internacional de Guarulhos,84715010,China,3,185
Pernambuco,Aeroporto Internacional do Recife,84715010,China,15,4429
