UF do Produto,URF,Código NCM,Países,Quantidades - (2020-2025),Frete - (2020-2025),Frete Total
Bahia,Aeroporto Internacional de Salvador,84715020,Países Baixos (Holanda),1,1072,1072
Ceará,Aeroporto Internacional de Fortaleza,84715010,Espanha,1,373,373
Ceará,Aeroporto Internacional de Fortaleza,84715010,Áustria,1,250,250
Ceará,Aeroporto Internacional de Viracopos,84715010,Polônia,1,651,651
Pernambuco,Aeroporto Internacional do Recife,84715010,China,4,6,24
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,Áustria,1,237,237
Pernambuco,Aeroporto Internacional de Viracopos,84715010,Taiwan (Formosa),1,27,27
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,2,140,280
Bahia,Aeroporto Internacional de Salvador,84715010,França,6,642,3852
Bahia,Aeroporto Internacional de Salvador,84715010,Tailândia,1,169,169
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,2,22,44
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,42,485,20370
Maranhão,Aeroporto Internacional de Guarulhos,84715010,Austrália,1,907,907
Maranhão,Aeroporto Internacional de Guarulhos,84715020,Austrália,1,1734,1734
Paraíba,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,2,1504,3008
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,1,29,29
Pernambuco,Aeroporto Internacional do Recife,84715010,Itália,14,288,4032
Pernambuco,Aeroporto Internacional do Recife,84715010,México,6,3100,18600
Bahia,Aeroporto Internacional de Salvador,84715010,Polônia,1,460,460
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,68,811,55148
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),2,19,38
Alagoas,Aeroporto Internacional do Recife,84715010,Alemanha,1,499,499
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,2,516,1032
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,1,45,45
Bahia,Aeroporto Internacional de Salvador,84715010,China,1,18,18
Bahia,Aeroporto Internacional de Salvador,84715020,Alemanha,1,59,59
Bahia,Aeroporto Internacional de Guarulhos,84715010,China,1,157,157
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,2,392,784
Rio Grande do Norte,Aeroporto Internacional de Fortaleza,84715010,Áustria,2,30,60
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,Alemanha,1,13,13
Rio Grande do Norte,Aeroporto Internacional do Recife,84715010,México,1,760,760
Bahia,Aeroporto Internacional de Salvador,84715010,Japão,1,184,184
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,5,448,2240
Pernambuco,Aeroporto Internacional do Recife,84715010,Itália,1,325,325
Bahia,Aeroporto Internacional de Salvador,84715030,França,1,898,898
Pernambuco,Aeroporto Internacional de Guarulhos,84715010,França,2,26,52
Bahia,Aeroporto Internacional de Salvador,84715010,China,13,178,2314
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,4,115,460
Bahia,Aeroporto Internacional de Salvador,84715010,México,14,378,5292
Bahia,Aeroporto Internacional de Guarulhos,84715010,Alemanha,1,37,37
Bahia,Aeroporto Internacional de Viracopos,84715010,Estados Unidos,2,110,220
Ceará,Aeroporto Internacional de Fortaleza,84715010,México,130,2717,353210
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715010,Alemanha,1,282,282
Pernambuco,Aeroporto Internacional do Recife,84715030,"Tcheca, República",3,1647,4941
Bahia,Aeroporto Internacional de Salvador,84715010,México,2,296,592
Bahia,Aeroporto Internacional de Guarulhos,84715010,México,1,159,159
Ceará,Aeroporto Internacional de Fortaleza,84715010,México,25,262,6550
Alagoas,Aeroporto Internacional de Guarulhos,84715010,China,10,4222,42220
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,631,631
Bahia,Aeroporto Internacional do Rio de Janeiro,84715010,Estados Unidos,1,390,390
Bahia,Aeroporto Internacional de Guarulhos,84715010,Canadá,1,36,36
Paraíba,Aeroporto Internacional do Recife,84715010,Estados Unidos,3,8970,26910
Piauí,Aeroporto Internacional de Salvador,84715010,Áustria,4,19,76
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,3,1330,3990
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,622,622
Bahia,Aeroporto Internacional de Viracopos,84715010,China,4,45,180
Bahia,Aeroporto Internacional de Viracopos,84715010,Malásia,1,19,19
Bahia,Aeroporto Internacional de Salvador,84715010,China,900,3109,2798100
Maranhão,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,2,866,1732
Paraíba,Aeroporto Internacional do Recife,84715010,China,300,2484,745200
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,1,9,9
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,797,797
Bahia,Aeroporto Internacional de Guarulhos,84715010,Estados Unidos,2,275,550
Bahia,Aeroporto Internacional de Viracopos,84715010,Espanha,3,21,63
Rio Grande do Norte,Aeroporto Internacional de Guarulhos,84715010,Áustria,2,95,190
Bahia,Aeroporto Internacional de Salvador,84715010,Canadá,59,8557,504863
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,2,510,1020
Bahia,Aeroporto Internacional de Salvador,84715020,Itália,1,871,871
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,1,1045,1045
Bahia,Aeroporto Internacional de Salvador,84715010,Alemanha,7,3299,23093
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,1,38,38
Bahia,Aeroporto Internacional de Salvador,84715010,México,1,16,16
Paraíba,Aeroporto Internacional do Rio de Janeiro,84715010,Reino Unido,1,704,704
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,1,7,7
Bahia,Aeroporto Internacional de Salvador,84715010,México,9,441,3969
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,20,288,5760
Ceará,Aeroporto Internacional de Fortaleza,84715010,Itália,2,30,60
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),1,552,552
Ceará,Aeroporto Internacional de Fortaleza,84715010,China,40,453,18120
Paraíba,Aeroporto Internacional do Recife,84715010,China,25,90,2250
Paraíba,Aeroporto Internacional do Recife,84715010,Taiwan (Formosa),10,64,640
Pernambuco,Aeroporto Internacional do Recife,84715010,Estados Unidos,1,31,31
Bahia,Aeroporto Internacional de Salvador,84715010,Espanha,2,2,4
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,1,554,554
Bahia,Aeroporto Internacional de Salvador,84715010,México,7,201,1407
Bahia,Aeroporto Internacional de Salvador,84715010,Taiwan (Formosa),11,1008,11088
Ceará,Aeroporto Internacional de Salvador,84715010,Espanha,1,178,178
Maranhão,Aeroporto Internacional de Fortaleza,84715010,Alemanha,2,26,52
Maranhão,Aeroporto Internacional de Fortaleza,84715010,China,2,22,44
Pernambuco,Aeroporto Internacional do Recife,84715010,Polônia,3,779,2337
Bahia,Aeroporto Internacional de Salvador,84715010,China,1,33,33
Bahia,Aeroporto Internacional de Salvador,84715010,Estados Unidos,2,403,806
Ceará,Aeroporto Internacional de Fortaleza,84715010,Alemanha,6,620,3720
