Destino,Origem,Intermerdiario,Final,Distancia,Emissão de CO2
Paraíba,Aeroporto de Heathrow (Londres),*,Aeroporto Internacional de João Pessoa,7284,37904.48
Paraíba,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional de João Pessoa,16804,87444.66
Paraíba,Aeroporto de Gatwick (Londres),*,Aeroporto Internacional de João Pessoa,7267,37816.01
Paraíba,Aeroporto Internacional de Budapeste Ferenc Liszt,*,Aeroporto Internacional de João Pessoa,8049,41885.39
Paraíba,Aeroporto Internacional de Kuala Lumpur (Sepang),*,Aeroporto Internacional de João Pessoa,15207,79134.19
Paraíba,Aeroporto Internacional Hartsfield-Jackson Atlanta,*,Aeroporto Internacional de João Pessoa,6897,35890.61
Paraíba,Aeroporto Internacional de Noi Bai,*,Aeroporto Internacional de João Pessoa,15535,80841.03
Paraíba,Aeroporto Internacional de Tan Son Nhat,*,Aeroporto Internacional de João Pessoa,15797,82204.43
Paraíba,Aeroporto Internacional de Suvarnabhumi,*,Aeroporto Internacional de João Pessoa,15138,78775.12
Paraíba,Aeroporto Internacional de Hong Kong,*,Aeroporto Internacional de João Pessoa,16293,84785.51
Paraíba,Aeroporto Internacional Don Mueang,*,Aeroporto Internacional de João Pessoa,15121,78686.66
Paraíba,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de João Pessoa,15395,80112.5
Paraíba,Aeroporto de Frankfurt,*,Aeroporto Internacional de João Pessoa,7599,39543.68
Paraíba,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de João Pessoa,15080,78473.3
Pernambuco,Aeroporto de Bruxelas,*,Aeroporto Internacional do Recife,7557,39325.12
Pernambuco,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional do Recife,16506,85893.92
Pernambuco,Aeroporto Internacional de Budapeste Ferenc Liszt,*,Aeroporto Internacional do Recife,8135,42332.91
Pernambuco,Aeroporto de Copenhague,*,Aeroporto Internacional do Recife,7359,38294.76
Pernambuco,Aeroporto de Zurique,*,Aeroporto Internacional do Recife,7497,39012.89
Pernambuco,Aeroporto de Schiphol (Amsterdã),*,Aeroporto Internacional do Recife,7685,39991.2
Pernambuco,Aeroporto Internacional Hartsfield-Jackson Atlanta,*,Aeroporto Internacional do Recife,6975,36296.5
Pernambuco,Aeroporto de Helsinque,*,Aeroporto Internacional do Recife,9208,47916.59
Pernambuco,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional do Recife,15483,80570.44
Pernambuco,Aeroporto Internacional de Hong Kong,*,Aeroporto Internacional do Recife,16343,85045.7
Pernambuco,Aeroporto de Milão-Malpensa,*,Aeroporto Internacional do Recife,7371,38357.21
Pernambuco,Aeroporto de Roma-Fiumicino,*,Aeroporto Internacional do Recife,7320,38091.82
Pernambuco,Aeroporto de Frankfurt,*,Aeroporto Internacional do Recife,7693,40032.83
Pernambuco,Aeroporto de Praga,*,Aeroporto Internacional do Recife,8007,41666.83
Pernambuco,Aeroporto Internacional de Taiwan Taoyuan,*,Aeroporto Internacional do Recife,16872,87798.51
Pernambuco,Aeroporto Internacional de Viena,*,Aeroporto Internacional do Recife,8010,41682.44
Pernambuco,Aeroporto de Varsóvia Chopin,*,Aeroporto Internacional do Recife,8523,44351.99
Pernambuco,Aeroporto de Toulouse-Blagnac (França),*,Aeroporto Internacional do Recife,6802,35396.25
Piauí,Aeroporto Internacional de Pequim Capital,*,Aeroporto de Teresina,15617,81267.74
Piauí,Aeroporto Internacional de Xangai Pudong,*,Aeroporto de Teresina,16706,86934.68
Piauí,Aeroporto Internacional de Viena,*,Aeroporto de Teresina,8237,42863.7
Piauí,Aeroporto de Frankfurt,*,Aeroporto de Teresina,7842,40808.2
Rio Grande do Norte,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Natal,15285,79540.08
Rio Grande do Norte,Aeroporto Internacional de Penang (Penang),*,Aeroporto Internacional de Natal,15111,78634.62
Rio Grande do Norte,Aeroporto Internacional de Viena,*,Aeroporto Internacional de Natal,7815,40667.7
Rio Grande do Norte,Aeroporto de Roma-Fiumicino,*,Aeroporto Internacional de Natal,7136,37134.32
Rio Grande do Norte,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Natal,16326,84957.24
Rio Grande do Norte,Aeroporto de Praga,*,Aeroporto Internacional de Natal,7804,40610.46
Rio Grande do Norte,Aeroporto de Copenhague,*,Aeroporto Internacional de Natal,7116,37030.24
Rio Grande do Norte,Aeroporto Internacional de Kuala Lumpur (Sepang),*,Aeroporto Internacional de Natal,15248,79347.54
Rio Grande do Norte,Aeroporto de Zurique,*,Aeroporto Internacional de Natal,7293,37951.31
Rio Grande do Norte,Aeroporto Internacional Hartsfield-Jackson Atlanta,*,Aeroporto Internacional de Natal,6768,35219.32
Rio Grande do Norte,Aeroporto de Milão-Malpensa,*,Aeroporto Internacional de Natal,7171,37316.45
Rio Grande do Norte,Aeroporto de Frankfurt,*,Aeroporto Internacional de Natal,7482,38934.83
Sergipe,Aeroporto Internacional de Pequim Capital,*,Aeroporto Internacional de Aracaju,15873,82599.92
Sergipe,Aeroporto Internacional de Xangai Pudong,*,Aeroporto Internacional de Aracaju,16896,87923.4
