Estado,Origem,Distância original,Emissão original,Distância hub,Emissão hub
Paraíba,Aeroporto Internacional de Penang (Penang),15184,79014.5,15080.0,78473.3
Paraíba,Aeroporto Internacional Don Mueang,15248,79347.54,15121.0,78686.66
Pernambuco,Aeroporto Internacional de Pequim Capital,15483,80570.44,15483.0,80570.44
Pernambuco,Aeroporto Internacional de Xangai Pudong,16506,85893.92,16506.0,85893.92
Pernambuco,Aeroporto Internacional Hartsfield-Jackson Atlanta,6975,36296.5,6975.0,36296.5
Pernambuco,Aeroporto de Frankfurt,7693,40032.83,7693.0,40032.83
Pernambuco,Aeroporto de Roma-Fiumicino,7320,38091.82,7320.0,38091.82
Pernambuco,Aeroporto de Zurique,7497,39012.89,7497.0,39012.89
Pernambuco,Aeroporto de Helsinque,9208,47916.59,9208.0,47916.59
Pernambuco,Aeroporto de Milão-Malpensa,7371,38357.21,7371.0,38357.21
Pernambuco,Aeroporto de Copenhague,7359,38294.76,7359.0,38294.76
Pernambuco,Aeroporto de Schiphol (Amsterdã),7685,39991.2,7685.0,39991.2
Pernambuco,Aeroporto Internacional de Hong Kong,20329,105788.05,16343.0,85045.7
Pernambuco,Aeroporto de Bruxelas,11261,58599.99,7557.0,39325.12
Pernambuco,Aeroporto Internacional de Viena,12200,63486.36,8010.0,41682.44
Pernambuco,Aeroporto Internacional de Budapeste Ferenc Liszt,8135,42332.91,8135.0,42332.91
Pernambuco,Aeroporto Internacional de Taiwan Taoyuan,16872,87798.51,16872.0,87798.51
Pernambuco,Aeroporto de Praga,8007,41666.83,8007.0,41666.83
Pernambuco,Aeroporto de Varsóvia Chopin,8523,44351.99,8523.0,44351.99
Pernambuco,Aeroporto de Toulouse-Blagnac (França),10984,57158.54,6802.0,35396.25
Piauí,Aeroporto Internacional de Pequim Capital,19717,102603.32,15617.0,81267.74
Piauí,Aeroporto Internacional de Viena,8338,43389.28,8237.0,42863.7
Piauí,Aeroporto Internacional de Xangai Pudong,20749,107973.65,16706.0,86934.68
Piauí,Aeroporto de Frankfurt,9335,48577.47,7842.0,40808.2
Rio Grande do Norte,Aeroporto Internacional de Xangai Pudong,16326,84957.24,16326.0,84957.24
Rio Grande do Norte,Aeroporto de Praga,12392,64485.49,7804.0,40610.46
Rio Grande do Norte,Aeroporto Internacional Hartsfield-Jackson Atlanta,7238,37665.1,6768.0,35219.32
Rio Grande do Norte,Aeroporto de Copenhague,7423,38627.81,7116.0,37030.24
Rio Grande do Norte,Aeroporto de Frankfurt,7482,38934.83,7482.0,38934.83
Rio Grande do Norte,Aeroporto de Zurique,7760,40381.49,7293.0,37951.31
Rio Grande do Norte,Aeroporto Internacional de Viena,8273,43051.04,7815.0,40667.7
Rio Grande do Norte,Aeroporto Internacional de Kuala Lumpur (Sepang),15459,80445.54,15248.0,79347.54
Rio Grande do Norte,Aeroporto Internacional de Penang (Penang),15339,79821.09,15111.0,78634.62
Rio Grande do Norte,Aeroporto Internacional de Pequim Capital,15285,79540.08,15285.0,79540.08
Rio Grande do Norte,Aeroporto de Roma-Fiumicino,7583,39460.42,7136.0,37134.32
Rio Grande do Norte,Aeroporto de Milão-Malpensa,7634,39725.81,7171.0,37316.45
Sergipe,Aeroporto Internacional de Xangai Pudong,20286,105564.29,16896.0,87923.4
Sergipe,Aeroporto Internacional de Pequim Capital,19283,100344.88,15873.0,82599.92
