Origem,São Paulo - Guarulhos (Km),São Paulo - Guarulhos (Kg),São Paulo - Guarulhos (Hr - Comercial),São Paulo - Guarulhos (Hr - Cargueiro),Recife - Guararapes (Km),Recife - Guararapes (Kg),Recife - Guararapes (Hr - Comercial),Recife - Guararapes (Hr - Cargueiro),Salvador - Dpt. Magalhães (Km),Salvador - Dpt. Magalhães (Kg),Salvador - Dpt. Magalhães (Hr - Comercial),Salvador - Dpt. Magalhães (Hr - Cargueiro),Natal - Gov. Alves (Km),Natal - Gov. Alves (Kg),Natal - Gov. Alves (Hr - Comercial),Natal - Gov. Alves (Hr - Cargueiro),São Luiz - Mar. Cunha (Km),São Luiz - Mar. Cunha (Kg),São Luiz - Mar. Cunha (Hr - Comercial),São Luiz - Mar. Cunha (Hr - Cargueiro),Fortaleza - Martins (Km),Fortaleza - Martins (Kg),Fortaleza - Martins (Hr - Comercial),Fortaleza - Martins (Hr - Cargueiro)
Aeroporto Internacional de Viena,9628,1184.244,10.70 ~ 11.33,11.33 ~ 12.04,7557,929.511,8.40 ~ 8.89,8.89 ~ 9.45,8196,1008.108,9.11 ~ 9.64,9.64 ~ 10.24,7339,902.697,8.15 ~ 8.63,8.63 ~ 9.17,7508,923.484,8.34 ~ 8.83,8.83 ~ 9.38,7309,899.007,8.12 ~ 8.60,8.60 ~ 9.14
Aeroporto Internacional de Budapeste Ferenc Liszt,9751,1199.373,10.83 ~ 11.47,11.47 ~ 12.19,7685,945.255,8.54 ~ 9.04,9.04 ~ 9.61,8323,1023.729,9.25 ~ 9.79,9.79 ~ 10.40,7465,918.1949999999999,8.29 ~ 8.78,8.78 ~ 9.33,7615,936.645,8.46 ~ 8.96,8.96 ~ 9.52,7428,913.644,8.25 ~ 8.74,8.74 ~ 9.29
Aeroporto de Frankfurt,9776,1202.448,10.86 ~ 11.50,11.50 ~ 12.22,7693,946.239,8.55 ~ 9.05,9.05 ~ 9.62,8336,1025.328,9.26 ~ 9.81,9.81 ~ 10.42,7482,920.286,8.31 ~ 8.80,8.80 ~ 9.35,7697,946.731,8.55 ~ 9.06,9.06 ~ 9.62,7471,918.933,8.30 ~ 8.79,8.79 ~ 9.34
Aeroporto de Bratislava,9853,1211.9189999999999,10.95 ~ 11.59,11.59 ~ 12.32,7757,954.111,8.62 ~ 9.13,9.13 ~ 9.70,8405,1033.815,9.34 ~ 9.89,9.89 ~ 10.51,7564,930.372,8.40 ~ 8.90,8.90 ~ 9.46,7881,969.3629999999999,8.76 ~ 9.27,9.27 ~ 9.85,7596,934.308,8.44 ~ 8.94,8.94 ~ 9.49
Aeroporto Internacional de Riga,9899,1217.577,11.00 ~ 11.65,11.65 ~ 12.37,7814,961.122,8.68 ~ 9.19,9.19 ~ 9.77,8459,1040.4569999999999,9.40 ~ 9.95,9.95 ~ 10.57,7642,939.966,8.49 ~ 8.99,8.99 ~ 9.55,8069,992.487,8.97 ~ 9.49,9.49 ~ 10.09,7722,949.806,8.58 ~ 9.08,9.08 ~ 9.65
Aeroporto de Tallinn,10097,1241.931,11.22 ~ 11.88,11.88 ~ 12.62,8140,1001.22,9.04 ~ 9.58,9.58 ~ 10.18,8743,1075.389,9.71 ~ 10.29,10.29 ~ 10.93,7896,971.208,8.77 ~ 9.29,9.29 ~ 9.87,7823,962.229,8.69 ~ 9.20,9.20 ~ 9.78,7771,955.833,8.63 ~ 9.14,9.14 ~ 9.71
Aeroporto de Milão-Malpensa,10098,1242.054,11.22 ~ 11.88,11.88 ~ 12.62,8007,984.861,8.90 ~ 9.42,9.42 ~ 10.01,8653,1064.319,9.61 ~ 10.18,10.18 ~ 10.82,7804,959.8919999999999,8.67 ~ 9.18,9.18 ~ 9.76,8056,990.888,8.95 ~ 9.48,9.48 ~ 10.07,7810,960.63,8.68 ~ 9.19,9.19 ~ 9.76
Aeroporto de Toulouse-Blagnac (França),10105,1242.915,11.23 ~ 11.89,11.89 ~ 12.63,8010,985.23,8.90 ~ 9.42,9.42 ~ 10.01,8658,1064.934,9.62 ~ 10.19,10.19 ~ 10.82,7815,961.245,8.68 ~ 9.19,9.19 ~ 9.77,8114,998.0219999999999,9.02 ~ 9.55,9.55 ~ 10.14,7841,964.443,8.71 ~ 9.22,9.22 ~ 9.80
Aeroporto de Estocolmo-Arlanda,10141,1247.343,11.27 ~ 11.93,11.93 ~ 12.68,8048,989.904,8.94 ~ 9.47,9.47 ~ 10.06,8695,1069.485,9.66 ~ 10.23,10.23 ~ 10.87,7866,967.518,8.74 ~ 9.25,9.25 ~ 9.83,8241,1013.643,9.16 ~ 9.70,9.70 ~ 10.30,7924,974.6519999999999,8.80 ~ 9.32,9.32 ~ 9.90
Aeroporto de Sófia,10149,1248.327,11.28 ~ 11.94,11.94 ~ 12.69,8054,990.6419999999999,8.95 ~ 9.48,9.48 ~ 10.07,8701,1070.223,9.67 ~ 10.24,10.24 ~ 10.88,7859,966.657,8.73 ~ 9.25,9.25 ~ 9.82,8161,1003.803,9.07 ~ 9.60,9.60 ~ 10.20,7886,969.978,8.76 ~ 9.28,9.28 ~ 9.86
Aeroporto de Gatwick (Londres),10230,1258.29,11.37 ~ 12.04,12.04 ~ 12.79,8135,1000.605,9.04 ~ 9.57,9.57 ~ 10.17,8783,1080.309,9.76 ~ 10.33,10.33 ~ 10.98,7944,977.112,8.83 ~ 9.35,9.35 ~ 9.93,8270,1017.21,9.19 ~ 9.73,9.73 ~ 10.34,7982,981.786,8.87 ~ 9.39,9.39 ~ 9.98
Aeroporto de Bruxelas,10232,1258.536,11.37 ~ 12.04,12.04 ~ 12.79,8148,1002.204,9.05 ~ 9.59,9.59 ~ 10.19,8793,1081.539,9.77 ~ 10.34,10.34 ~ 10.99,7977,981.1709999999999,8.86 ~ 9.38,9.38 ~ 9.97,8402,1033.446,9.34 ~ 9.88,9.88 ~ 10.50,8058,991.134,8.95 ~ 9.48,9.48 ~ 10.07
Aeroporto de Pulkovo (São Petersburgo),10525,1294.575,11.69 ~ 12.38,12.38 ~ 13.16,8438,1037.874,9.38 ~ 9.93,9.93 ~ 10.55,9083,1117.209,10.09 ~ 10.69,10.69 ~ 11.35,8264,1016.472,9.18 ~ 9.72,9.72 ~ 10.33,8671,1066.533,9.63 ~ 10.20,10.20 ~ 10.84,8337,1025.451,9.26 ~ 9.81,9.81 ~ 10.42
Aeroporto Internacional de Boryspil (Kiev),10536,1295.9279999999999,11.71 ~ 12.40,12.40 ~ 13.17,8469,1041.687,9.41 ~ 9.96,9.96 ~ 10.59,9108,1120.2839999999999,10.12 ~ 10.72,10.72 ~ 11.38,8309,1022.007,9.23 ~ 9.78,9.78 ~ 10.39,8786,1080.6779999999999,9.76 ~ 10.34,10.34 ~ 10.98,8413,1034.799,9.35 ~ 9.90,9.90 ~ 10.52
Aeroporto de Dublin,10615,1305.645,11.79 ~ 12.49,12.49 ~ 13.27,8523,1048.329,9.47 ~ 10.03,10.03 ~ 10.65,9170,1127.91,10.19 ~ 10.79,10.79 ~ 11.46,8322,1023.606,9.25 ~ 9.79,9.79 ~ 10.40,8578,1055.094,9.53 ~ 10.09,10.09 ~ 10.72,8331,1024.713,9.26 ~ 9.80,9.80 ~ 10.41
Aeroporto de Varsóvia Chopin,10627,1307.121,11.81 ~ 12.50,12.50 ~ 13.28,8585,1055.955,9.54 ~ 10.10,10.10 ~ 10.73,9216,1133.568,10.24 ~ 10.84,10.84 ~ 11.52,8357,1027.911,9.29 ~ 9.83,9.83 ~ 10.45,8432,1037.136,9.37 ~ 9.92,9.92 ~ 10.54,8292,1019.9159999999999,9.21 ~ 9.76,9.76 ~ 10.37
Aeroporto de Zurique,10900,1340.7,12.11 ~ 12.82,12.82 ~ 13.62,8839,1087.197,9.82 ~ 10.40,10.40 ~ 11.05,9475,1165.425,10.53 ~ 11.15,11.15 ~ 11.84,8617,1059.891,9.57 ~ 10.14,10.14 ~ 10.77,8736,1074.528,9.71 ~ 10.28,10.28 ~ 10.92,8571,1054.233,9.52 ~ 10.08,10.08 ~ 10.71
Aeroporto de Luxemburgo,11001,1353.123,12.22 ~ 12.94,12.94 ~ 13.75,8911,1096.0529999999999,9.90 ~ 10.48,10.48 ~ 11.14,9557,1175.511,10.62 ~ 11.24,11.24 ~ 11.95,8707,1070.961,9.67 ~ 10.24,10.24 ~ 10.88,8942,1099.866,9.94 ~ 10.52,10.52 ~ 11.18,8709,1071.2069999999999,9.68 ~ 10.25,10.25 ~ 10.89
Aeroporto Internacional de Vilnius,11049,1359.027,12.28 ~ 13.00,13.00 ~ 13.81,8966,1102.818,9.96 ~ 10.55,10.55 ~ 11.21,9610,1182.03,10.68 ~ 11.31,11.31 ~ 12.01,8756,1076.988,9.73 ~ 10.30,10.30 ~ 10.95,8947,1100.481,9.94 ~ 10.53,10.53 ~ 11.18,8740,1075.02,9.71 ~ 10.28,10.28 ~ 10.93
Aeroporto de Schiphol (Amsterdã),11133,1369.359,12.37 ~ 13.10,13.10 ~ 13.92,9039,1111.797,10.04 ~ 10.63,10.63 ~ 11.30,9686,1191.378,10.76 ~ 11.40,11.40 ~ 12.11,8851,1088.673,9.83 ~ 10.41,10.41 ~ 11.06,9180,1129.1399999999999,10.20 ~ 10.80,10.80 ~ 11.47,8893,1093.839,9.88 ~ 10.46,10.46 ~ 11.12
Aeroporto de Barcelona-El Prat,11222,1380.306,12.47 ~ 13.20,13.20 ~ 14.03,9149,1125.327,10.17 ~ 10.76,10.76 ~ 11.44,9790,1204.17,10.88 ~ 11.52,11.52 ~ 12.24,8933,1098.759,9.93 ~ 10.51,10.51 ~ 11.17,9086,1117.578,10.10 ~ 10.69,10.69 ~ 11.36,8902,1094.946,9.89 ~ 10.47,10.47 ~ 11.13
Aeroporto de Vágar,11277,1387.071,12.53 ~ 13.27,13.27 ~ 14.10,9208,1132.584,10.23 ~ 10.83,10.83 ~ 11.51,9847,1211.181,10.94 ~ 11.58,11.58 ~ 12.31,8990,1105.77,9.99 ~ 10.58,10.58 ~ 11.24,9128,1122.744,10.14 ~ 10.74,10.74 ~ 11.41,8953,1101.219,9.95 ~ 10.53,10.53 ~ 11.19
Aeroporto Internacional Sheremetyevo (Moscou),11520,1416.96,12.80 ~ 13.55,13.55 ~ 14.40,9442,1161.366,10.49 ~ 11.11,11.11 ~ 11.80,10084,1240.3319999999999,11.20 ~ 11.86,11.86 ~ 12.61,9228,1135.044,10.25 ~ 10.86,10.86 ~ 11.54,9393,1155.339,10.44 ~ 11.05,11.05 ~ 11.74,9203,1131.969,10.23 ~ 10.83,10.83 ~ 11.50
Aeroporto Nikola Tesla (Belgrado),11767,1447.341,13.07 ~ 13.84,13.84 ~ 14.71,9673,1189.779,10.75 ~ 11.38,11.38 ~ 12.09,10320,1269.36,11.47 ~ 12.14,12.14 ~ 12.90,9474,1165.302,10.53 ~ 11.15,11.15 ~ 11.84,9725,1196.175,10.81 ~ 11.44,11.44 ~ 12.16,9485,1166.655,10.54 ~ 11.16,11.16 ~ 11.86
Aeroporto Internacional de Malé,13258,1630.734,14.73 ~ 15.60,15.60 ~ 16.57,12114,1490.022,13.46 ~ 14.25,14.25 ~ 15.14,12491,1536.393,13.88 ~ 14.70,14.70 ~ 15.61,12142,1493.466,13.49 ~ 14.28,14.28 ~ 15.18,13119,1613.637,14.58 ~ 15.43,15.43 ~ 16.40,12494,1536.762,13.88 ~ 14.70,14.70 ~ 15.62
Aeroporto Internacional de Nursultan Nazarbayev,13941,1714.743,15.49 ~ 16.40,16.40 ~ 17.43,11852,1457.796,13.17 ~ 13.94,13.94 ~ 14.81,12498,1537.254,13.89 ~ 14.70,14.70 ~ 15.62,11673,1435.779,12.97 ~ 13.73,13.73 ~ 14.59,12004,1476.492,13.34 ~ 14.12,14.12 ~ 15.01,11724,1442.052,13.03 ~ 13.79,13.79 ~ 14.65
Aeroporto Internacional Indira Gandhi,14403,1771.569,16.00 ~ 16.94,16.94 ~ 18.00,12594,1549.062,13.99 ~ 14.82,14.82 ~ 15.74,13165,1619.295,14.63 ~ 15.49,15.49 ~ 16.46,12504,1537.992,13.89 ~ 14.71,14.71 ~ 15.63,13193,1622.739,14.66 ~ 15.52,15.52 ~ 16.49,12714,1563.822,14.13 ~ 14.96,14.96 ~ 15.89
Aeroporto Internacional Soekarno-Hatta (Jacarta),15633,1922.859,17.37 ~ 18.39,18.39 ~ 19.54,15486,1904.778,17.21 ~ 18.22,18.22 ~ 19.36,15621,1921.383,17.36 ~ 18.38,18.38 ~ 19.53,15602,1919.046,17.34 ~ 18.36,18.36 ~ 19.50,16657,2048.811,18.51 ~ 19.60,19.60 ~ 20.82,16013,1969.599,17.79 ~ 18.84,18.84 ~ 20.02
Aeroporto Internacional de Kuala Lumpur (Sepang),15905,1956.315,17.67 ~ 18.71,18.71 ~ 19.88,15196,1869.108,16.88 ~ 17.88,17.88 ~ 19.00,15493,1905.639,17.21 ~ 18.23,18.23 ~ 19.37,15248,1875.504,16.94 ~ 17.94,17.94 ~ 19.06,16249,1998.627,18.05 ~ 19.12,19.12 ~ 20.31,15616,1920.768,17.35 ~ 18.37,18.37 ~ 19.52
Aeroporto Internacional Ngurah Rai (Bali),15929,1959.267,17.70 ~ 18.74,18.74 ~ 19.91,16223,1995.4289999999999,18.03 ~ 19.09,19.09 ~ 20.28,16239,1997.397,18.04 ~ 19.10,19.10 ~ 20.30,16376,2014.248,18.20 ~ 19.27,19.27 ~ 20.47,17421,2142.783,19.36 ~ 20.50,20.50 ~ 21.78,16799,2066.277,18.67 ~ 19.76,19.76 ~ 21.00
Aeroporto Internacional de Penang (Penang),15937,1960.251,17.71 ~ 18.75,18.75 ~ 19.92,15076,1854.348,16.75 ~ 17.74,17.74 ~ 18.84,15414,1895.922,17.13 ~ 18.13,18.13 ~ 19.27,15111,1858.653,16.79 ~ 17.78,17.78 ~ 18.89,16085,1978.455,17.87 ~ 18.92,18.92 ~ 20.11,15464,1902.072,17.18 ~ 18.19,18.19 ~ 19.33
Aeroporto Internacional de Changi,16009,1969.107,17.79 ~ 18.83,18.83 ~ 20.01,15420,1896.66,17.13 ~ 18.14,18.14 ~ 19.27,15688,1929.624,17.43 ~ 18.46,18.46 ~ 19.61,15484,1904.532,17.20 ~ 18.22,18.22 ~ 19.36,16498,2029.254,18.33 ~ 19.41,19.41 ~ 20.62,15861,1950.903,17.62 ~ 18.66,18.66 ~ 19.83
